,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
0,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
1,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
2,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
3,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
4,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
5,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
6,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
7,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
8,Polygon9MATIC,$0.9848,0.67%,2.55%,2.23%,"$9.11B$9,108,874,442","$356,422,729361,924,081 MATIC","9,249,469,069 MATIC"
9,Solana10SOL,$21.78,0.26%,0.51%,1.96%,"$8.58B$8,583,632,409","$338,675,32815,553,014 SOL","394,186,830 SOL"
10,Bitcoin1BTC,"$28,671.43",0.08%,2.22%,0.22%,"$555.00B$554,996,662,671","$16,328,139,858569,660 BTC","19,362,868 BTC"
11,Ethereum2ETH,"$1,867.00",0.10%,1.93%,0.48%,"$224.77B$224,772,860,360","$7,055,632,8163,778,792 ETH","120,381,822 ETH"
12,Tether3USDT,$1.00,0.01%,0.02%,0.00%,"$81.90B$81,895,621,948","$24,543,254,68524,535,016,091 USDT","81,868,131,511 USDT"
13,BNB4BNB,$323.24,0.01%,0.18%,4.56%,"$50.39B$50,390,410,315","$744,740,6732,303,552 BNB","155,862,239 BNB"
14,USD Coin5USDC,$0.9999,0.01%,0.00%,0.01%,"$30.26B$30,256,707,098","$2,744,401,0922,744,524,878 USDC","30,258,071,824 USDC"
15,XRP6XRP,$0.4602,0.22%,0.69%,2.32%,"$23.82B$23,822,507,342","$875,018,7421,901,488,272 XRP","51,768,283,547 XRP"
16,Cardano7ADA,$0.3855,0.13%,0.38%,4.09%,"$13.42B$13,418,963,416","$204,793,213531,295,921 ADA","34,812,875,083 ADA"
17,Dogecoin8DOGE,$0.07834,0.08%,0.15%,2.74%,"$10.90B$10,904,016,936","$226,362,2192,889,516,637 DOGE","139,189,916,384 DOGE"
